,NAME,ADDRESS,City,State Code,Zip Code,County,Rural Versus Urban,FTE - Employees on Payroll,Total Days (V + XVIII + XIX + Unknown),Number of Beds,Total Bed Days Available,Total Discharges (V + XVIII + XIX + Unknown),Total Days (V + XVIII + XIX + Unknown) + Total for all Subproviders,Number of Beds + Total for all Subproviders,Total Bed Days Available + Total for all Subproviders,Total Discharges (V + XVIII + XIX + Unknown) + Total for all Subproviders,Hospital Total Days (V + XVIII + XIX + Unknown) For Adults &amp; Peds,Hospital Number of Beds For Adults &amp; Peds,Hospital Total Bed Days Available For Adults &amp; Peds,Hospital Total Discharges (V + XVIII + XIX + Unknown) For Adults &amp; Peds,Cost of Charity Care,Total Bad Debt Expense,Cost of Uncompensated Care,Total Unreimbursed and Uncompensated Care,Total Salaries From Worksheet A,Overhead Non-Salary Costs,Depreciation Cost,Total Costs,Inpatient Total Charges,Outpatient Total Charges,Combined Outpatient + Inpatient Total Charges,Wage-Related Costs (Core),Wage-Related Costs (RHC/FQHC),Total Salaries (adjusted),Contract Labor,Wage Related Costs for Part - A Teaching Physicians,Wage Related Costs for Interns and Residents,Cash on Hand and in Banks,Temporary Investments,Notes Receivable,Accounts Receivable,Less: Allowances for Uncollectible Notes and Accounts Receivable,Inventory,Prepaid Expenses,Other Current Assets,Total Current Assets,Total Fixed Assets,Investments,Other Assets,Total Other Assets,Total Assets,Accounts Payable,"Salaries, Wages, and Fees Payable",Payroll Taxes Payable,Notes and Loans Payable (Short Term),Deferred Income,Other Current Liabilities,Total Current Liabilities,Mortgage Payable,Notes Payable,Unsecured Loans,Other Long Term Liabilities,Total Long Term Liabilities,Total Liabilities,General Fund Balance,Total Fund Balances,Total Liabilities and Fund Balances,Managed Care Simulated Payments,Total IME Payment,Inpatient Revenue,Outpatient Revenue,Gross Revenue,Net Patient Revenue,Less Total Operating Expense,Net Income from Service to Patients,Total Other Income,Total Income,Total Other Expenses,Net Income,Cost To Charge Ratio,Net Revenue from Medicaid,Medicaid Charges
0,BAPTIST HEALTH MEDICAL CENTER - VB,EAST MAIN & SOUTH 20TH STREETS,VAN BUREN,AR,72956,,U,13.62,481,39,"2,379",168,481,39,"2,379",168,444.0,31.0,1891.0,168.0,0,159262.0,21057.0,21057.0,952278.0,1649629.0,132800.0,2669348.0,6008644.0,21299172.0,27307816.0,204435.0,0,952278.0,3000.0,0,0,286659.0,0,0,1997257.0,0,747024.0,896.0,196285.0,3228121.0,0.0,0,0,0,10397078.0,713282.0,0,0,0,0,3539400.0,4252682.0,0,0,0,5991294.0,5991294.0,10243976.0,153102.0,153102.0,10397078.0,0,0,6289807.0,21018010.0,27307817.0,2925510.0,2776630.0,148880.0,4222.0,153102.0,0,153102.0,0.1,0,0
1,MARTIN MEDICAL CENTER,200 HOSPITAL AVENUE,STUART,FL,34995,MARTIN,U,"3,191.75","31,535",521,"47,932","26,952","31,535",521,"47,932","26,952",26412.0,447.0,41124.0,26952.0,5334134.0,11046666.0,8401251.0,11771030.0,53214888.0,70396564.0,10713115.0,110910856.0,385563561.0,349176942.0,734740503.0,10735835.0,0,51795877.0,670976.0,70251.0,0,-1276366.0,167232819.0,0,155062552.0,-95704766.0,10790068.0,4706818.0,41597276.0,284651846.0,0.0,0,12262992.0,12262992.0,673094935.0,12400728.0,39698288.0,9704.0,7845000.0,0,1368455.0,61322175.0,0,293943607.0,0,59049934.0,352993541.0,414315716.0,258779219.0,258779219.0,673094935.0,0,0,385563560.0,362804137.0,748367697.0,128193757.0,123611452.0,4582305.0,-15211355.0,-10629050.0,0,-10629050.0,0.15,4543107.0,52842459.0
2,NORTH TEXAS MEDICAL CENTER,1900 HOSPITAL BOULEVARD,GAINSVILLE,TX,76240-,COOKE,R,168.00,707,36,"2,074",175,"5,205",36,"2,074",175,534.0,31.0,1708.0,175.0,112588.0,1824715.0,593966.0,594602.0,2505569.0,4270428.0,287577.0,5386933.0,6044770.0,14374988.0,20419758.0,373538.0,14900.0,2505569.0,167077.0,1480.0,0,7554343.0,0,0,64704590.0,-60372810.0,420942.0,744224.0,1175736.0,20340422.0,0.0,0,1993364.0,1993364.0,44859173.0,754648.0,1194543.0,0,280960.0,0,390623.0,2620774.0,0,0,0,41380476.0,41380476.0,44001250.0,857923.0,857923.0,44859173.0,0,0,6638309.0,14729903.0,21368212.0,6034594.0,6775997.0,-741403.0,5322236.0,4580833.0,0,4580833.0,0.26,841405.0,2189792.0
3,BAPTIST HEALTH MEDICAL CENTER - FS,1001 TOWSON AVENUE,FORT SMITH,AR,72901,,U,155.10,"9,738",320,"19,520","2,077","10,556",343,"20,923","2,170",9015.0,289.0,17629.0,2077.0,0,3304300.0,524684.0,524684.0,10427886.0,23977131.0,1256295.0,35451168.0,109472743.0,136078266.0,245551009.0,2331187.0,0,10427886.0,5200.0,0,0,2773104.0,0,0,23691063.0,0,7068867.0,303366.0,1411644.0,35248044.0,0.0,0,0,0,163404703.0,9158269.0,211906.0,0,0,0,0,9370175.0,0,0,154918411.0,0,154918411.0,164288586.0,-883883.0,-883883.0,163404703.0,0,103986.0,110132941.0,135418068.0,245551009.0,35860701.0,37450285.0,-1589584.0,705701.0,-883883.0,0,-883883.0,0.14,0,0
4,LINCOLNHEALTH,6 ST. ANDREWS LANE,BOOTHBAY HARBOR,ME,04538-,LINCOLN,R,362.19,"1,793",25,"9,125",382,"19,312",67,"24,455",382,1377.0,21.0,7665.0,382.0,202374.0,1047204.0,851792.0,851792.0,6124146.0,15117362.0,928865.0,18206588.0,9440440.0,21196720.0,30637160.0,0,0,0,0,0,0,4425475.0,0,591564.0,6985850.0,0,3294397.0,0,0,23717347.0,0.0,12633553.0,3335454.0,15969007.0,86448474.0,1617780.0,2630412.0,0,0,17032.0,1971307.0,17186883.0,0,9448243.0,0,3303566.0,12751809.0,29938692.0,56509782.0,56509782.0,86448474.0,0,0,10567431.0,23595634.0,34163065.0,21394222.0,21973982.0,-579760.0,61805.0,-517955.0,0,-517955.0,0.59,1692896.0,2070344.0
5,WALDO COUNTY GENERAL HOSPITAL,118 NORTHPORT AVENUE,BELFAST,ME,04915,WALDO,R,574.95,"1,499",25,"2,300",312,"3,794",25,"2,300",312,915.0,21.0,1932.0,312.0,318681.0,1457938.0,1169545.0,1169545.0,11464898.0,13269718.0,1273069.0,20562710.0,6594055.0,28862886.0,35456941.0,0,0,0,0,0,0,6779946.0,59170587.0,0,32302907.0,-23462744.0,1395246.0,144772.0,232801.0,84234649.0,0.0,28559373.0,10504515.0,39063888.0,160328430.0,2473824.0,5308848.0,0,496550.0,42083.0,-1152957.0,10556357.0,4139083.0,4342116.0,2530738.0,0,11011937.0,21568294.0,138760136.0,138760136.0,160328430.0,0,0,7811551.0,32537398.0,40348949.0,25168895.0,24734616.0,434279.0,-2656807.0,-2222528.0,0,-2222528.0,0.58,3056258.0,5419568.0
6,STEPHENS MEMORIAL HOSPITAL - CAH,181 MAIN STREET,NORWAY,ME,04268,OXFORD,R,345.00,"1,129",25,"2,300",343,"14,458",25,"2,300",343,896.0,21.0,1932.0,343.0,145190.0,1864584.0,1315237.0,1315237.0,7964494.0,10916386.0,757142.0,17465580.0,5969359.0,23288733.0,29258092.0,0,0,0,0,0,0,23551911.0,0,0,5004222.0,0,1701644.0,0,4971280.0,35229057.0,0.0,0,6428094.0,6428094.0,64089320.0,2800983.0,3147046.0,0,0,0,10148761.0,16096790.0,0,4539173.0,0,3499616.0,8038789.0,24135579.0,39953741.0,39953741.0,64089320.0,0,0,7049894.0,26141179.0,33191073.0,18562833.0,18595097.0,-32264.0,263065.0,230801.0,0,230801.0,0.6,2745279.0,3679143.0
7,INDIAN RIVER MEMORIAL HOSPITA.L,1000 36TH STREET,VERO BEACH,FL,32960,,U,"1,424.44","13,293",310,"28,520","3,309","14,631",332,"30,544","3,578",11633.0,286.0,26312.0,3309.0,1200795.0,2628266.0,1885417.0,5358823.0,34118367.0,45091713.0,3131429.0,62668801.0,125543668.0,142461970.0,268005638.0,4853332.0,585818.0,34228663.0,1456326.0,37260.0,0,23200433.0,0,0,105398685.0,-67840319.0,5350181.0,2958931.0,17793831.0,90160342.0,0.0,3680336.0,9469534.0,13149870.0,201376343.0,12555418.0,9852057.0,0,0,0,11614072.0,34021547.0,0,0,0,23467506.0,23467506.0,57489053.0,143887290.0,143887290.0,201376343.0,0,0,131956801.0,167851870.0,299808671.0,68964609.0,79210080.0,-10245471.0,4401601.0,-5843870.0,0,-5843870.0,0.23,2326773.0,22572410.0
8,CROCKETT MEDICAL CENTER,1100 EAST LOOP 304,CROCKETT,TX,75835,HOUSTON,U,12.75,137,25,"2,300",86,"1,310",25,"2,300",86,137.0,25.0,2300.0,86.0,0,3100562.0,704221.0,704221.0,967867.0,2286782.0,50543.0,2460359.0,934460.0,9898077.0,10832537.0,99503.0,5473.0,967867.0,0,0,0,-590.0,0,0,8911316.0,-7307143.0,0,0,0,1596330.0,0.0,0,0,0,1860911.0,276986.0,-1240.0,-37042.0,1743573.0,0,0,1982277.0,0,0,0,285981.0,285981.0,2268258.0,-407347.0,-407347.0,1860911.0,0,0,935435.0,11263703.0,12199138.0,2472362.0,3254649.0,-782287.0,374940.0,-407347.0,0,-407347.0,0.23,0,0
9,KNOX COUNTY HOSPITAL,712 SOUTH FIFTH,KNOX CITY,TX,79529,,R,40.73,168,28,"4,200",40,"7,900",28,"4,200",40,115.0,28.0,4200.0,40.0,13864.0,62594.0,27476.0,27476.0,2287991.0,6435536.0,109075.0,6679068.0,347221.0,35737482.0,36084703.0,71264.0,69803.0,2287991.0,11000.0,0,0,8006964.0,0,0,39555833.0,-704779.0,471639.0,32647.0,0,48050879.0,0.0,0,8012.0,8012.0,52006331.0,127404.0,387205.0,-33467.0,0,14492.0,0,1221205.0,0,0,0,0,0,1221205.0,50785126.0,50785126.0,52006331.0,0,0,381991.0,35702712.0,36084703.0,18942529.0,8723527.0,10219002.0,2996371.0,13215373.0,0,13215373.0,0.19,157688.0,428807.0
